#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-10-16T20:24:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5bc648c42111	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:IV/22&tab:{IV/22/index}&key:source=IV/22&HTTPPRM:&
#-c.eq=J2000
#-c.r=  360
#-c.u=deg
#-c.geom=r
#-source=IV/22/index
#-order=I
#-out=FK5
#-out=RAJ2000
#-out=DEJ2000
#-out=name
#

#RESOURCE=yCat_4022
#Name: IV/22
#Title: FK5 - SAO - HD - Common Name Cross Index (Smith 1996)
#Table	IV_22_index:
#Name: IV/22/index
#Title: The catalog
#Column	FK5	(I4)	The FK5 number (Cat. I/149, I/175) (2)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right Ascension hours (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	name	(a20)	Common name or variable name	[ucd=meta.id]
FK5|RAJ2000|DEJ2000|name
  34|00 55 00.291|-69 31 37.49|
  32|00 56 42.525|+60 43 00.19|
  33|00 56 45.215|+38 29 57.60|
1023|00 57 50.154|+28 59 31.93|
  35|00 58 36.363|-29 21 26.89|
1024|00 58 45.758|-05 52 58.21|
1025|01 01 38.654|-16 15 55.98|
1027|01 02 01.814|-57 00 08.65|
1026|01 02 26.435|-31 33 07.40|
  36|01 02 56.613|+07 53 24.31|
  37|01 03 49.022|+01 22 00.46|
1028|01 05 05.353|+14 56 46.04|
1029|01 06 07.724|-23 59 33.07|
  39|01 07 18.653|-61 46 31.04|
1031|01 07 47.857|-41 29 13.07|
1030|01 08 16.378|+54 55 13.41|
  40|01 08 35.396|-10 10 56.17|
 906|01 08 44.740|+86 15 25.49|
  42|01 09 43.931|+35 37 13.95|MIRACH
1032|01 11 27.213|+21 02 04.72|
  43|01 11 39.629|+30 05 22.70|
  41|01 12 16.742|+79 40 26.27|
  44|01 12 45.433|-37 51 23.49|
1033|01 13 43.887|+07 34 31.16|
1034|01 17 47.956|+03 36 51.89|
  45|01 19 27.994|+27 15 50.52|
1035|01 22 20.421|+45 31 43.62|
1036|01 23 30.965|-30 56 44.27|
  47|01 24 01.406|-08 11 00.29|
1037|01 24 48.686|-02 50 55.13|
1038|01 25 05.295|-64 22 10.15|
  48|01 25 48.959|+60 14 06.96|RUCHBAH
  46|01 25 56.018|+68 07 48.05|
1039|01 26 41.671|+19 14 25.36|
1041|01 26 51.572|-13 03 23.51|
1040|01 27 39.357|+45 24 24.24|
  49|01 28 21.942|-43 19 05.66|
1043|01 29 36.134|-21 37 45.61|
1042|01 31 13.756|+70 15 52.56|
1044|01 31 15.120|-49 04 21.77|
  50|01 31 29.013|+15 20 44.81|
  53|01 33 39.152|-78 30 17.21|
1045|01 36 47.842|+41 24 19.64|
1046|01 37 05.924|+12 08 29.73|
 916|01 37 27.990|-84 46 10.58|
  54|01 37 42.852|-57 14 12.18|ACHERNAR
  52|01 37 59.561|+48 37 41.55|
  51|01 38 30.901|+73 02 24.10|
  56|01 41 25.897|+05 29 15.29|
  58|01 42 02.988|-36 49 56.59|
1047|01 42 03.491|+35 14 44.37|
1048|01 42 08.596|-32 19 36.99|
  55|01 42 20.518|+68 02 34.93|
1049|01 42 43.518|-03 41 24.71|
  57|01 43 39.639|+50 41 19.48|
  59|01 44 04.091|-15 56 14.89|
  60|01 45 23.629|+09 09 27.79|
  61|01 45 38.782|-25 03 09.32|
1050|01 48 10.927|+16 57 19.90|
1051|01 49 35.106|-10 41 11.09|
  62|01 51 27.640|-10 20 06.20|BATEN KAITOS
1052|01 52 09.356|+50 47 34.21|
  64|01 53 04.905|+29 34 43.82|
  65|01 53 33.346|+03 11 14.98|
  67|01 53 38.757|-46 18 09.42|
1053|01 54 22.048|-42 29 49.24|
  63|01 54 23.711|+63 40 12.28|
  66|01 54 38.401|+20 48 28.82|SHERATAN
  69|01 54 56.116|-67 38 50.16|
  68|01 55 57.488|-51 36 31.99|
  72|01 58 46.201|-61 34 11.43|
  71|02 00 00.308|-21 04 40.21|
1054|02 02 18.106|+54 29 15.25|
  70|02 03 26.088|+72 25 16.69|
  73|02 03 53.963|+42 19 46.99|ALMACH
1055|02 04 29.440|-29 17 48.58|
  74|02 07 10.403|+23 27 44.66|HAMAL
  75|02 09 32.625|+34 59 14.24|
1056|02 10 37.592|+19 30 01.19|
  78|02 12 54.480|-30 43 25.80|
1058|02 13 00.001|+08 50 48.18|
1057|02 13 03.300|+15 16 47.39|
  77|02 13 36.341|+51 03 57.04|
  76|02 14 29.067|+66 31 28.02|
1060|02 14 31.966|-41 10 00.49|
1059|02 15 42.774|+25 02 35.01|
  82|02 16 30.603|-51 30 44.04|
1635|02 16 45.608|+83 33 41.12|
  80|02 16 59.045|-06 25 19.71|
  79|02 17 18.870|+33 50 50.00|
1062|02 17 19.888|-35 58 58.61|
1061|02 18 01.435|+01 45 28.00|
  81|02 18 07.535|+19 54 04.07|
1657|02 18 34.187|-88 08 44.88|
1063|02 19 16.792|+47 22 47.88|
1656|02 21 40.603|-85 43 04.87|
1065|02 21 44.949|-68 39 33.85|
1064|02 22 04.986|-17 39 44.00|
  83|02 22 32.567|-23 48 59.32|
1067|02 22 52.280|-73 38 44.92|
  84|02 24 53.928|-60 18 43.01|
1066|02 25 57.005|-12 17 25.72|
  86|02 26 59.137|-47 42 14.02|
  85|02 28 09.541|+08 27 36.19|
1068|02 28 09.978|+29 40 09.58|
1069|02 30 54.390|+17 42 13.80|
  90|02 31 40.469|-79 06 33.78|
 907|02 31 48.704|+89 15 50.72|POLARIS
1071|02 32 05.239|-15 14 40.62|
1070|02 32 06.167|+36 08 50.20|
  88|02 33 07.032|-34 39 00.01|
1072|02 35 52.469|+05 35 35.60|
1074|02 36 00.048|-07 49 53.84|
1073|02 36 04.888|+06 53 12.89|268 G CET
  87|02 38 02.006|+72 49 05.84|
  89|02 38 48.986|+21 57 40.99|
  91|02 39 28.953|+00 19 42.58|
  95|02 39 35.361|-68 16 00.99|
1076|02 40 39.619|-54 32 59.88|
1075|02 40 40.038|-39 51 19.54|
  94|02 43 27.112|+27 42 25.68|
1077|02 44 05.157|+44 17 49.32|
  97|02 44 07.351|-13 51 31.37|
  93|02 44 11.986|+49 13 42.48|
1078|02 44 14.627|-25 29 43.52|
  92|02 44 49.678|+67 49 28.68|
  98|02 44 56.537|+10 06 50.76|
 101|02 49 05.429|-32 24 21.40|
 100|02 49 59.029|+27 15 37.81|
  99|02 50 41.811|+55 53 43.80|
 102|02 51 02.324|-21 00 14.51|
1079|02 51 29.589|+15 04 55.36|
 103|02 54 15.457|+52 45 44.95|
 104|02 56 25.651|-08 53 53.40|AZHA
1080|02 56 37.425|-03 42 44.35|
1081|02 58 05.215|+20 40 07.49|
 106|02 58 15.696|-40 18 16.97|ACAMAR
1082|02 59 03.676|+35 10 59.24|
1083|02 59 42.899|+08 54 26.51|
1084|03 02 02.510|-18 12 28.10|
 113|03 02 15.431|-71 54 08.86|
 107|03 02 16.773|+04 05 22.93|MENKAR
1085|03 02 23.507|-23 37 27.99|
1086|03 02 55.878|-46 58 30.05|
 110|03 03 36.814|-59 44 16.00|
 108|03 04 47.791|+53 30 23.29|
 109|03 05 10.593|+38 50 25.01|
 105|03 06 07.764|+79 25 06.67|
1087|03 07 18.582|-13 45 42.54|
 111|03 08 10.131|+40 57 20.43|ALGOL
 112|03 09 04.016|+49 36 47.89|
1088|03 09 36.737|+29 04 37.48|
 114|03 11 37.756|+19 43 36.06|
 118|03 12 33.150|-57 19 17.83|
 116|03 12 46.439|-01 11 45.88|
1090|03 14 40.093|-35 33 27.88|
1089|03 14 54.091|+21 02 40.06|
1091|03 15 50.023|-08 49 11.03|
1095|03 15 57.610|-77 23 18.48|
1092|03 16 55.076|-31 21 07.92|
1093|03 19 21.696|+03 22 12.59|
 119|03 19 55.669|-43 04 11.29|82 G  ERIDANI
 115|03 20 19.742|+77 44 05.18|
1094|03 21 13.622|+21 08 49.39|
 120|03 24 19.365|+49 51 40.34|MIRFAK
1096|03 24 40.542|+64 35 09.65|
 121|03 24 48.800|+09 01 43.87|
 123|03 27 10.158|+09 43 57.73|
 122|03 29 04.132|+59 56 25.07|
 126|03 29 22.678|-62 56 15.09|
 124|03 30 34.486|+47 59 42.89|
1097|03 30 37.052|-05 04 30.50|
 125|03 30 52.382|+12 56 12.03|
1636|03 32 20.108|+84 54 39.79|
 128|03 32 34.810|-50 22 43.33|
1098|03 32 40.010|+35 27 42.19|
 127|03 32 55.846|-09 27 29.72|
1099|03 33 47.281|-21 37 58.38|
1100|03 36 17.405|-17 28 01.44|
1101|03 36 52.376|+00 24 05.89|
 130|03 37 05.679|-40 16 28.80|
1102|03 38 47.683|-27 56 35.04|
1103|03 40 46.304|+25 19 46.23|
 129|03 42 09.312|+63 13 00.44|
 133|03 42 14.912|-31 56 18.12|
 131|03 42 55.497|+47 47 15.30|
 135|03 43 14.903|-09 45 48.25|
 141|03 44 11.982|-64 48 25.07|
 137|03 44 30.503|-01 09 47.24|
 136|03 44 52.532|+24 06 48.01|ELECTRA
 134|03 45 11.633|+42 34 42.70|
1104|03 45 40.434|+06 02 59.98|
 140|03 46 50.889|-23 14 58.97|
 146|03 47 14.318|-74 14 20.27|
 139|03 47 29.073|+24 06 18.38|ALCYONE
 142|03 49 09.739|+24 03 12.24|ATLAS
 143|03 49 27.257|-36 12 00.78|
 138|03 50 21.500|+71 19 56.16|
1107|03 53 08.364|-06 38 01.46|
1106|03 53 10.040|+17 19 37.45|
1108|03 53 33.344|-46 53 37.44|
1105|03 53 43.276|+57 58 30.45|
 144|03 54 07.922|+31 53 01.01|ATIK
 147|03 57 51.227|+40 00 36.72|
 149|03 58 01.763|-13 30 30.71|ZAURAK
1109|03 58 42.908|-57 06 08.66|
1110|03 58 44.744|-61 24 00.85|
 148|03 58 57.900|+35 47 27.59|MENKIB
 150|04 00 40.819|+12 29 25.24|
1114|04 00 43.666|-71 10 00.37|
1111|04 01 32.040|-01 32 58.81|
 151|04 03 09.377|+05 59 21.48|
1112|04 04 41.711|+22 04 54.89|
 153|04 05 37.447|-27 39 06.47|
1113|04 06 35.035|+50 21 04.58|
 152|04 08 39.685|+47 42 45.09|
1115|04 09 09.962|+19 36 33.13|
1116|04 10 49.856|+26 28 51.36|
 154|04 11 51.936|-06 50 15.30|BEID
 155|04 14 00.126|-42 17 40.00|
 156|04 14 25.488|-62 28 25.85|
1117|04 14 53.854|+48 24 33.60|
1118|04 15 32.060|+08 53 32.42|
 157|04 16 01.601|-51 29 11.93|
 166|04 17 59.149|-80 12 50.49|
 159|04 19 47.603|+15 37 39.41|
1119|04 20 09.074|-16 26 14.34|
 158|04 20 24.640|+34 34 00.27|
 161|04 20 39.011|-20 38 22.73|
 163|04 21 53.338|-63 23 11.00|
1658|04 22 50.891|-82 53 56.74|
 162|04 22 56.090|+17 32 32.98|
1120|04 23 40.847|-03 44 43.74|
1121|04 24 02.213|-34 01 00.76|
1123|04 28 32.115|+01 22 50.88|
 164|04 28 36.997|+19 10 49.46|
1122|04 29 51.943|+69 22 42.00|
 167|04 30 50.116|-44 57 13.67|
 165|04 32 01.832|+53 54 39.03|
1124|04 33 24.897|+43 03 49.99|
1125|04 33 50.914|+14 50 39.82|
 171|04 33 59.781|-55 02 42.21|
 908|04 35 24.132|+85 31 37.51|
 170|04 35 33.044|-30 33 44.42|
 168|04 35 55.237|+16 30 33.39|ALDEBARAN
 169|04 36 19.138|-03 21 08.89|
 172|04 38 10.809|-14 18 14.13|
1127|04 40 06.808|-24 28 56.51|
1129|04 40 33.708|-41 51 49.73|
1126|04 41 19.753|+28 36 53.94|
1130|04 42 03.482|-37 08 39.69|
 174|04 42 14.703|+22 57 24.89|
 177|04 43 03.949|-70 55 51.74|
1128|04 43 21.594|+49 58 25.64|
1131|04 44 05.315|-08 30 13.05|
 176|04 45 30.146|-03 15 16.75|
1132|04 46 25.770|-28 05 14.91|
 175|04 48 00.267|+56 45 25.93|
 173|04 48 50.327|+75 56 28.36|
1134|04 49 50.414|+06 57 40.54|
1133|04 49 54.638|+37 29 17.81|
 179|04 51 12.362|+05 36 18.31|
1135|04 51 22.458|+18 50 23.42|
1136|04 52 31.965|+14 15 02.17|
 178|04 54 03.016|+66 20 33.64|
 180|04 54 15.089|+02 26 26.34|
1138|04 55 11.166|-74 56 12.78|
 181|04 56 59.617|+33 09 57.93|
 917|04 58 50.857|-82 28 13.86|
 183|05 01 58.133|+43 49 23.83|
1139|05 02 22.813|-31 46 17.02|
1137|05 02 28.685|+41 04 32.96|
 184|05 03 05.739|+21 35 23.79|
 182|05 03 25.089|+60 26 32.04|
1140|05 04 34.143|+15 24 14.65|
 187|05 04 58.022|-49 34 40.22|
 186|05 05 27.662|-22 22 15.80|
 189|05 05 30.650|-57 28 21.92|
 185|05 06 30.886|+41 14 04.15|
1143|05 07 25.945|-44 49 18.25|
 188|05 07 50.972|-05 05 11.23|CURSA
 190|05 09 08.783|-08 45 14.78|
1142|05 09 19.641|+09 49 46.43|
1141|05 09 45.085|+28 01 49.54|
1144|05 12 55.886|-16 12 19.97|
 192|05 13 25.714|+38 29 04.12|
 196|05 13 45.438|-67 11 07.12|
 194|05 14 32.268|-08 12 05.98|RIGEL
 193|05 16 41.353|+45 59 52.90|CAPELLA
 197|05 17 29.079|-34 53 42.88|
 195|05 17 36.388|-06 50 39.86|
1145|05 19 08.470|+40 05 56.61|
 199|05 19 22.142|-50 36 21.65|
 198|05 19 23.692|-27 22 08.09|
1146|05 19 34.518|-13 10 36.47|
1147|05 21 45.743|-00 22 57.07|
 191|05 22 33.474|+79 13 52.08|
 201|05 25 07.857|+06 20 58.74|BELLATRIX
 202|05 26 17.511|+28 36 26.67|ELNATH
1149|05 27 05.327|-40 56 36.92|
1148|05 27 10.085|+17 57 43.86|
 204|05 28 14.720|-20 45 34.09|NIHAL
1152|05 30 09.490|-47 04 39.76|
 203|05 30 10.206|+63 04 02.04|
1659|05 30 13.883|-84 47 06.39|
1637|05 31 48.047|+85 56 18.53|
 214|05 31 52.935|-76 20 27.65|
 206|05 32 00.398|-00 17 56.88|MINTAKA
1150|05 32 33.811|+57 13 16.04|
1151|05 32 43.673|+32 11 31.29|
 207|05 32 43.802|-17 49 20.26|ARNEB
 212|05 33 37.514|-62 29 23.48|
 208|05 34 49.239|+09 29 22.35|
 209|05 35 25.974|-05 54 35.61|
 210|05 36 12.809|-01 12 07.02|ALNILAM
 211|05 37 38.681|+21 08 33.06|
1153|05 38 06.919|-27 12 38.81|
 215|05 39 38.947|-34 04 27.01|PHACT
 205|05 39 43.704|+75 02 37.88|
1660|05 39 59.240|-85 54 51.57|
 217|05 44 27.784|-22 26 54.31|
1154|05 44 46.369|-65 44 07.95|
 216|05 45 54.038|+49 49 34.69|
 219|05 46 57.332|-14 49 19.12|
 218|05 47 26.188|+17 43 44.76|
 220|05 47 45.387|-09 40 10.75|SAIPH
1155|05 48 34.937|-04 05 40.53|
1156|05 49 49.654|-56 10 00.10|
1159|05 50 53.228|-52 06 32.12|
 223|05 50 57.594|-35 46 06.19|WAZN
 222|05 51 19.286|-20 52 44.89|
 221|05 51 29.388|+39 08 54.56|
1158|05 53 19.646|+27 36 43.94|
1157|05 54 50.769|+55 42 25.15|
 224|05 55 10.307|+07 24 25.35|BETELGEUSE
 226|05 56 24.288|-14 10 03.87|
1160|05 57 32.211|-35 16 59.91|
1161|05 58 49.570|+00 33 10.66|
 229|05 59 08.806|-42 48 54.83|
 225|05 59 31.632|+54 17 04.95|
 227|05 59 31.720|+44 56 50.78|MENKALINAN
1162|06 00 14.416|+33 08 12.96|
1638|06 01 20.177|+85 10 55.81|
1163|06 04 07.205|+23 15 48.16|
 231|06 04 28.443|-45 02 11.94|
 230|06 04 58.352|+04 09 31.05|
1164|06 06 05.539|-29 45 31.05|
 232|06 07 34.322|+14 46 06.40|
1166|06 08 44.242|-68 50 36.40|
1165|06 08 57.864|-22 25 38.58|
 239|06 10 14.436|-74 45 11.05|
 235|06 10 17.898|-54 58 07.23|
 233|06 12 51.061|+65 43 06.33|
1168|06 15 22.687|+29 29 52.95|
1167|06 15 39.013|+36 08 55.12|
1169|06 16 26.617|+12 16 19.71|
 238|06 16 33.125|-35 08 26.01|
 234|06 18 50.787|+69 19 11.27|
 237|06 19 37.382|+59 00 39.49|
1170|06 19 42.794|-07 49 22.57|
 240|06 20 18.792|-30 03 48.26|FURUD
 243|06 22 41.969|-17 57 21.37|MIRZAM
 241|06 22 57.621|+22 30 48.79|
 244|06 23 46.084|+04 35 34.24|
 245|06 23 57.119|-52 41 44.50|CANOPUS
1171|06 24 10.321|-11 31 48.50|
 242|06 24 53.892|+49 17 16.53|
1172|06 26 21.600|+41 57 34.21|
1662|06 26 47.779|-88 44 37.26|
 246|06 27 57.563|-04 45 43.70|
1173|06 28 57.781|+20 12 43.56|
1174|06 32 54.230|+07 19 58.58|
1175|06 33 37.908|-01 13 12.78|
 249|06 35 03.372|-22 57 53.36|
 247|06 37 41.386|+61 28 52.42|
 251|06 37 42.725|+16 23 57.43|ALHENA
 252|06 37 45.673|-43 11 45.50|
 250|06 38 39.536|+39 23 27.01|
 264|06 40 02.728|-80 48 48.84|
 254|06 43 55.923|+25 07 51.91|MEBSUTA
 257|06 45 08.871|-16 42 57.99|SIRIUS
 256|06 45 17.362|+12 53 44.02|
 248|06 46 14.073|+79 33 53.27|
1177|06 46 32.415|+08 35 13.64|
 255|06 46 44.336|+43 34 38.77|
1661|06 46 58.718|-87 01 29.89|
1178|06 47 21.393|-37 55 47.21|
1176|06 47 39.571|+48 47 22.21|
 258|06 47 51.640|+02 24 43.65|
 262|06 48 11.437|-61 56 28.95|
1179|06 49 16.404|-02 16 19.33|
1180|06 49 50.456|-32 30 30.60|
 263|06 49 56.173|-50 36 52.73|
 267|06 51 26.959|-70 57 48.44|
 261|06 52 47.337|+33 57 40.44|
 259|06 53 42.241|+68 53 17.93|
 266|06 54 11.396|-12 02 19.13|
 268|06 58 37.548|-28 58 19.50|ADHARA
 260|07 00 04.006|+76 58 38.73|
1181|07 00 23.747|-08 24 24.70|
1183|07 01 43.148|-27 56 05.45|
1182|07 02 24.773|+24 12 55.47|
 270|07 03 01.462|-23 49 59.96|
 271|07 03 45.485|-15 37 59.74|
1184|07 04 02.811|-42 20 14.31|
 269|07 04 06.522|+20 34 13.00|
 272|07 04 18.311|-56 44 59.31|
1185|07 07 49.485|+07 28 16.20|
 273|07 08 23.480|-26 23 35.55|
1189|07 08 44.877|-70 29 56.34|
1186|07 10 13.679|-04 14 13.72|
 274|07 11 39.318|+39 19 13.95|
1187|07 11 51.855|-00 29 33.99|
 275|07 12 33.638|-46 45 33.83|
1188|07 13 22.272|+16 09 32.22|BQ GEM
1190|07 15 50.134|+47 14 24.02|
 281|07 16 49.803|-67 57 26.03|
 278|07 17 08.554|-37 05 51.08|
 276|07 18 02.205|+40 53 00.21|
 277|07 18 05.572|+16 32 25.31|
 279|07 20 07.367|+21 58 56.29|WASAT
 280|07 22 52.051|+55 16 53.15|
 283|07 24 05.699|-29 18 11.23|ALUDRA
1191|07 24 08.461|+40 40 20.49|
1192|07 25 08.310|-13 45 07.40|
 282|07 25 43.594|+27 47 52.98|
 285|07 27 09.039|+08 17 21.50|GOMEISA
 286|07 29 06.700|+31 47 03.87|
1194|07 29 13.847|-43 18 05.30|
1193|07 29 47.782|+12 00 23.64|
 284|07 30 52.670|+68 27 56.35|
 288|07 34 03.176|-22 17 46.08|
 287|07 34 35.997|+31 53 18.53|CASTOR
1198|07 35 39.719|-52 32 02.10|
1196|07 35 55.346|+26 53 44.59|
1195|07 36 31.629|+46 10 49.11|
1197|07 36 41.026|-19 42 08.39|
 289|07 37 16.687|-04 06 39.64|
 290|07 37 22.094|-34 58 06.63|
 291|07 39 18.113|+05 13 30.06|PROCYON
 909|07 40 30.547|+87 01 12.47|
 293|07 41 14.835|-09 33 04.19|
 297|07 41 49.235|-72 36 21.84|
 292|07 43 00.409|+58 42 37.41|
 294|07 44 26.844|+24 23 52.72|
 295|07 45 18.946|+28 01 34.26|POLLUX
1202|07 45 56.861|-14 33 49.76|
1200|07 46 07.445|+18 30 36.04|
1201|07 46 16.206|+10 46 05.69|
1199|07 46 39.273|+37 31 02.60|
 296|07 47 30.324|+33 24 56.44|
1203|07 47 31.515|-46 36 30.79|
1206|07 49 12.881|-60 17 01.29|
1204|07 49 17.655|-24 51 35.31|
1205|07 51 41.980|+01 46 00.66|
 301|07 52 13.039|-40 34 33.10|
1207|07 53 29.805|+26 45 56.76|
 299|07 54 42.691|+47 33 52.59|
 303|07 56 46.707|-52 58 56.43|
1208|07 56 59.448|+15 47 24.89|
1210|07 57 40.112|-30 20 04.50|
1209|07 58 16.555|+43 58 38.60|
 304|07 59 44.148|-03 40 46.68|
1212|07 59 52.044|-18 23 57.34|
 300|08 00 11.718|+73 55 04.53|
1211|08 00 55.863|+25 23 34.08|
 302|08 01 42.413|+60 19 27.64|
1213|08 02 25.965|-06 20 13.89|
 305|08 03 31.078|+27 47 39.43|
 306|08 03 35.052|-40 00 11.64|
 308|08 07 32.645|-24 18 15.45|
 307|08 08 27.436|+51 30 23.98|
 309|08 09 31.965|-47 20 11.91|
1214|08 10 11.476|+35 27 17.74|
1215|08 12 48.789|+68 28 26.67|
 311|08 13 19.963|-15 47 17.75|
 312|08 16 30.928|+09 11 07.90|
1639|08 16 53.775|+84 03 27.60|
1216|08 17 18.460|+04 13 08.99|
 313|08 18 33.318|-36 39 33.68|
1218|08 19 15.084|-10 09 56.83|
 310|08 19 32.232|+75 45 24.85|
1217|08 20 03.856|+27 13 03.64|
 318|08 20 38.515|-77 29 04.11|
1219|08 21 23.031|-33 03 15.79|
 315|08 22 30.833|-59 30 34.51|AVIOR
 314|08 22 50.122|+43 11 17.31|
1220|08 23 21.828|+18 19 55.97|
1221|08 25 03.740|-24 02 46.37|
 316|08 25 39.628|-03 54 23.15|
 319|08 25 44.194|-66 08 13.02|
1222|08 28 37.338|+14 12 38.91|
 317|08 30 15.870|+60 43 05.44|MUSCIDA
 321|08 32 42.489|+20 26 28.15|
 320|08 32 54.975|+38 00 59.01|
 324|08 37 38.650|-42 59 20.86|
1223|08 37 39.371|+05 42 13.45|
1224|08 38 45.443|+03 20 28.96|
 323|08 39 17.618|+52 42 41.91|
 322|08 39 42.595|+73 37 46.85|
 325|08 40 01.464|-12 28 31.49|
1227|08 40 17.594|-52 55 19.10|
1226|08 40 37.594|-46 38 55.57|
1225|08 41 01.062|+45 50 02.42|
 331|08 41 19.530|-78 57 48.23|
1228|08 43 17.143|+21 28 06.52|ASELLUS BOREALIS
 327|08 43 35.545|-33 11 11.02|
 326|08 44 41.097|+18 09 15.45|ASELLUS AUSTRALIS
1229|08 44 55.160|-21 10 04.34|
 328|08 46 41.813|+28 45 35.68|
1230|08 49 21.723|-03 26 34.95|
 332|08 50 31.935|-27 42 35.59|
 336|08 55 02.832|-60 38 40.74|
1231|08 55 12.431|-18 14 28.51|
 334|08 55 23.629|+05 56 43.88|
 918|08 56 41.121|-85 39 47.25|
1233|08 56 58.409|-59 13 45.69|
 337|08 58 29.224|+11 51 27.79|ACUBENS
 335|08 59 12.442|+48 02 30.09|TALITHA
1232|08 59 32.649|+32 25 06.74|
1234|09 00 05.417|-41 15 13.51|
 339|09 00 38.390|+41 46 57.98|
1235|09 01 57.984|-00 28 57.64|
 343|09 02 26.804|-66 23 45.99|
 338|09 02 32.702|+67 37 46.66|
 341|09 03 37.527|+47 09 23.56|
1236|09 03 43.419|-05 10 16.96|
 340|09 04 00.395|+54 17 01.99|
 342|09 04 09.291|-47 05 52.00|
